"","x"
"1",15311
"2",14267
"3",13402
"4",8274.5
"5",17105
"6",13372.75
"7",16002
"8",14042
"9",13958
"10",11058.25
"11",13994
"12",8319.5
"13",11112
"14",13869.25
"15",8163.75
"16",13350
"17",15555
"18",966.75
"19",14768
"20",9625
"21",15430.5
"22",5130.25
"23",6686.25
"24",12178.5
"25",3105.75
"26",14035.75
"27",12386.5
"28",15761.5
"29",21451
"30",10180
"31",30110.75
"32",17072.5
"33",20512.75
"34",7057.5
"35",14370
"36",15192.75
"37",9600.75
"38",13498.25
"39",14946.75
"40",21893
"41",12613.25
"42",27069.75
"43",13216.75
"44",6080
"45",13807.75
"46",14076.25
"47",13233.5
"48",17071
"49",14561.75
"50",21642
"51",13393.25
"52",12239
"53",12048.75
"54",13188
"55",13720.5
"56",22890.75
"57",10144
"58",21319.5
"59",16846.75
"60",8414.75
"61",15275.5
"62",4849.75
"63",13575.5
"64",12270.75
"65",13400
"66",15672.5
"67",15220.25
"68",12461.5
"69",22105.5
"70",13684.5
"71",8092.5
"72",1733.5
"73",12498.75
"74",12773.25
"75",10534.75
"76",4841.75
"77",11619.75
"78",3777
"79",23116.25
"80",10133.25
"81",19698.5
"82",13526.75
"83",14608
"84",13750.5
"85",10698.75
"86",10486.5
"87",13381.25
"88",12197.5
"89",10791.5
"90",10048
"91",11685.25
"92",9417
"93",10392.75
"94",18086.5
"95",9920.5
"96",4671
"97",6035.25
"98",2651.5
"99",4729.5
"100",1146.25
"101",7768.5
"102",7422.25
"103",7349
"104",5934.25
"105",6041.75
"106",1078.25
"107",4705.25
"108",11485.25
"109",1547
"110",8866.75
"111",6296.5
"112",11146
"113",7040.5
"114",6105.5
"115",5064.75
"116",3514
"117",6539.75
"118",6935
"119",11399.5
"120",7323.75
"121",8029.5
"122",8013
"123",8013.25
"124",8339
"125",7590.5
"126",1981
"127",9392.25
"128",13886.75
"129",14290.25
"130",830.75
"131",10145.25
"132",8992.75
"133",10483.75
"134",8896.75
"135",11397.75
"136",5991.25
"137",12127
"138",7241
"139",10849
"140",4455
"141",7151.5
"142",7924.75
"143",8727.5
"144",4969
"145",7994.75
"146",7494.25
"147",4906.25
"148",7202.25
"149",11785.5
"150",11247.5
"151",492
"152",9740.75
"153",10607.25
"154",6409.75
"155",3547.75
"156",8285.75
"157",6954.25
"158",4262
"159",9123.5
"160",8391.5
"161",14657.5
"162",12379
"163",5108
"164",9846.75
"165",12077.5
"166",8750.5
"167",11138.75
"168",11610.25
"169",11757.5
"170",5259
"171",7875
"172",7401
"173",11789.5
"174",11175.5
"175",10259.5
"176",11640.25
"177",9824.75
"178",6558
"179",11229
"180",7531.5
"181",10315.25
"182",13159
"183",12834.25
"184",15567.25
"185",5669
"186",13348.75
"187",7073.5
"188",8688.75
"189",11881.5
"190",11894.75
"191",11182
"192",12425.25
"193",14182.75
"194",11197.75
"195",14764.25
"196",14492.5
"197",13802.75
"198",16353.25
"199",14526.5
"200",14647
"201",10783
"202",5600
"203",2110.75
"204",7666.75
"205",4553
"206",14708.25
"207",8332.25
"208",12628.75
"209",9201
"210",8575.5
"211",11657.25
"212",12000.25
"213",14655.25
"214",13878.5
"215",11544
"216",12431
"217",11879.25
"218",9844.25
"219",13999
"220",10830.5
"221",9958
"222",20011.75
"223",12886.25
"224",18083.75
"225",11931
"226",14755
"227",11615
"228",18086.25
"229",12359.25
"230",11441.5
"231",11297.75
"232",10701
"233",15401.75
"234",10363
"235",14935
"236",11754.75
"237",12646.5
"238",16255
"239",11349.75
"240",13561.5
"241",12988
"242",14397.5
"243",15454.5
"244",11764
"245",10356.5
"246",9535.5
"247",11075.25
"248",9085
"249",13688.5
"250",16750.75
"251",14485.75
"252",16691.5
"253",6502.5
"254",9988.5
"255",8788.75
"256",14294
"257",12466.5
"258",13155.75
"259",12734
"260",17245
"261",16779.25
"262",4891.75
"263",18033.5
"264",19340.25
"265",14114
"266",16876.5
"267",13754.75
"268",15299.75
"269",11655.75
"270",18296
"271",7745.25
"272",16159
"273",17266.75
"274",13055.25
"275",14083.25
"276",16617.5
"277",13377.5
