"","x"
"1",15310.75
"2",14267
"3",13402
"4",8274.5
"5",17105
"6",13372.75
"7",15265
"8",14042
"9",14631.75
"10",11058.25
"11",13994
"12",8595.5
"13",11112
"14",13869.25
"15",8167
"16",13350
"17",16141.25
"18",894.5
"19",14768
"20",9625
"21",15430.5
"22",5130
"23",6320
"24",12178.5
"25",3105.75
"26",14036
"27",12386.5
"28",15761.5
"29",21451
"30",10180
"31",30110.75
"32",17072.75
"33",20512.75
"34",6834
"35",14369.75
"36",15192.75
"37",9600.75
"38",13498.25
"39",14946.75
"40",21893
"41",12613.25
"42",27071.5
"43",13217
"44",6080
"45",13941.5
"46",14076.25
"47",13233.5
"48",17071
"49",14561.75
"50",21830.75
"51",13394.75
"52",12536.75
"53",12044.5
"54",13188
"55",13720.5
"56",22891.25
"57",10144
"58",21319.5
"59",16847.75
"60",8414.5
"61",15275.5
"62",4849.75
"63",13575.5
"64",12270.75
"65",13400
"66",15672.5
"67",15220.5
"68",12290.25
"69",21367
"70",13681.25
"71",8092.5
"72",1733.5
"73",12498.75
"74",12773
"75",10534.75
"76",4841.75
"77",11619.5
"78",3777
"79",23116.5
"80",10133.25
"81",19701.5
"82",13526.75
"83",14287.5
"84",13750.5
"85",10698.75
"86",10486.5
"87",14021.25
"88",12197.75
"89",10791.5
"90",10048
"91",11712.5
"92",9417
"93",10392.75
"94",18086.5
"95",9917.25
"96",4671
"97",6035.25
"98",2651.5
"99",4729.5
"100",1091.25
"101",7709.5
"102",7421.5
"103",7349
"104",5934.5
"105",6041.5
"106",828
"107",4705.25
"108",11485
"109",1503
"110",8866.75
"111",6296.75
"112",11146
"113",7040.5
"114",6105.5
"115",5064.75
"116",3514
"117",6539.75
"118",6981
"119",11399.5
"120",7323.75
"121",8007
"122",8013.25
"123",8013.25
"124",8338.75
"125",7590.25
"126",1917.25
"127",9392.25
"128",13886.75
"129",14288.5
"130",825.25
"131",10145.25
"132",8650.75
"133",10479
"134",8896.75
"135",11397.75
"136",5991
"137",12126.5
"138",7343.25
"139",10848.75
"140",4455
"141",7151.5
"142",7924.75
"143",8727.75
"144",4969
"145",7996.5
"146",7494.25
"147",4906.25
"148",7202.25
"149",11789
"150",11246.5
"151",378.25
"152",10562.25
"153",10607.25
"154",6409.75
"155",3547.75
"156",8285.75
"157",6952.25
"158",4262
"159",9045.75
"160",8391.75
"161",14658.5
"162",12378.75
"163",5108
"164",9847
"165",12077.5
"166",8750.5
"167",11138.75
"168",11610.25
"169",11757.5
"170",5264.25
"171",7875
"172",7401
"173",11789.5
"174",11175.5
"175",10259.5
"176",11639.25
"177",9824.75
"178",6558
"179",11229
"180",7531.5
"181",10315.25
"182",13159
"183",12121.25
"184",14184
"185",5301.25
"186",13351.5
"187",7073.5
"188",8685.25
"189",11740.75
"190",11894.75
"191",11182
"192",12425.75
"193",14182.75
"194",11197.5
"195",14764.5
"196",14492.5
"197",13802.75
"198",16355.25
"199",14526.5
"200",14647
"201",10783
"202",5600
"203",2110.75
"204",7666.75
"205",4553
"206",13487.25
"207",8332.25
"208",12628.75
"209",9202.5
"210",8575.5
"211",11655.75
"212",12000.25
"213",14655.5
"214",13878.5
"215",11544.25
"216",12431.5
"217",11879.5
"218",9844.25
"219",13999
"220",10831.5
"221",9958
"222",20011.75
"223",12886.25
"224",18083.75
"225",11931
"226",14755
"227",11615.25
"228",17659.25
"229",12359.25
"230",11441
"231",11297.75
"232",10701
"233",15401.5
"234",10363
"235",14935
"236",11753.5
"237",12646.5
"238",16255
"239",11349.75
"240",13561.5
"241",13285.5
"242",14397.25
"243",14631.25
"244",11764.25
"245",10356.5
"246",9535.5
"247",11075.25
"248",9085
"249",13688.75
"250",16750.75
"251",14485.75
"252",16691.5
"253",6721.5
"254",9988.5
"255",8788.75
"256",14294.5
"257",12466.5
"258",13155.75
"259",12732.75
"260",17243.5
"261",16779.25
"262",4891.75
"263",18033.5
"264",19335.25
"265",14114
"266",16876.5
"267",13754.75
"268",15299.75
"269",11655.75
"270",18296
"271",7745.25
"272",16158.75
"273",17266.75
"274",13009.5
"275",14083.25
"276",16617.5
"277",13377.5
