"","Name","Total_Points"
"1","Kashmere",114861
"2","East Fifth Ward",102328
"3","Westpark East",22575
"4","Deer Park",52896
"5","Westpark West",12581
"6","Cypress",105438
"7","Memorial Park",127673
"8","Pasadena Northwest",56576
"9","Aldine Northeast",64803
"10","Baytown North",55516
"11","Independence Heights",44627
"12","Aldine Northwest",37936
"13","Baytown West",58722
"14","Aldine Southeast",23613
"15","South River Oaks",61485
"16","Bayland Park",179609
"17","Washington Corridor",273293
"18","Manchester",110514
"19","East Galena Park",111556
"20","Milby Park",130834
"21","Sharpstown",113460
"22","Sharpstown South",139378
"23","North River Oaks",83934
"24","West Galena Park",169180
"25","North Spring Branch",136976
"26","North Rice",352769
"27","Clinton",245406
"28","West Eastex",195354
"29","North Heights",294070
"30","South Rice",207346
"31","Harrisburg",138948
"32","Sharpstown North",152749
"33","Westchase",92548
"34","South Spring Branch",94333
"35","South Beltway Central",456807
